"Уч.ц. 1",Уч.ц. 2,,,,,,,,,,,,,,,,,,,,,,,,
"День недели",Время | Группа,ГНГ-18-1,ГНГ-18-2,МГП-18,РГГ-18,РГИ-18,РМ-18,РФ-18,НГД-18-1,НГД-18-10,НГД-18-2,НГД-18-3,НГД-18-12,НГД-18-4,НГД-18-6,НГД-18-7,НГД-18-5,НГД-18-8,НГД-18-9,НГД-18-11,НГС-18-1,НГС-18-2,РТ-18,ТНГ-18-1,ТНГ-18-2
"П
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 20.9 - 27.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   6  . 0  9   -   1  3  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 20.9 - 27.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   6  . 0  9   -   1  3  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 20.9 - 27.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   6  . 0  9   -   1  3  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 20.9 - 27.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   6  . 0  9   -   1  3  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 20.9 - 27.12 )","Математика

Доц. Карпов А.Н. пр. No512","I  История развития нефтегазовой
отрасли

Доц. Шайдуров В.Н. пр. No611
II История развития нефтегазовой

отрасли
Доц. Шайдуров В.Н. No633","Физическая культура
( 6.09 - 13.09 )
Элективные дисциплины по
физической культуре и спорту
( 20.9 - 27.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   6  . 0  9   -  1  3  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 20.9 - 27.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   6  . 0  9   -   1  3  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 20.9 - 27.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   6  . 0  9   -   1  3  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 20.9 - 27.12 )","Русский язык и культура речи

Проф. Щукина Д.А. пр. No609","Начертательная геометрия и
и   н  ж  е  н  е  р  н   а я    к о  м   п  ь  ю   т  е  р  н  а  я
графика
А  с  с  .   Ч   у  п  и н С.А. пр. No710
Асс. Кононов П.В. пр. No726","I  Русский язык и культура речи
Доц. Згурская О.Г. пр. No610
_____________________","История
Асс. Подольский С.И. пр. No612","_____________________
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No633","_____________________
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No633",,"Начертательная геометрия и
инженерная графика
Доц. Янкилевич С.В. пр.No722
Доц. Меркулова В.А. No724","Физическая культура
( 6.09 - 13.09 )

Элективные дисциплины по

физической культуре и спорту
( 20.9 - 27.12 )",,"Математика
Доц. Романова Ю.С. пр. No542"

"",10.35-12.05,"Математика
Доц. Брылевская Л.И. No536","Математика
Доц. Брылевская Л.И. No536","Математика
Доц. Брылевская Л.И. No536","Химия элементов и их соединений
Доц. Згонник П.В. No839","Химия элементов и их соединений
Доц. Згонник П.В. No839","Математика
Доц. Брылевская Л.И. No536","Русский язык и культура речи
Проф. Щукина Д.А. пр. No609","I  История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No828
II История
Доц. Лейберов А.И. No828","I  История
Доц. Лейберов А.И. No633
II Русский язык и культура речи
Асс. Дмитриева М.Н. пр. No610","Физика
Доц. Смирнова Н.Н. No326","Физика
Доц. Смирнова Н.Н. No326","Физика
Доц. Смирнова Н.Н. No326","I  История
Доц. Мокеев А.Б. No640
____________________
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No640","История развития нефтегазовой
отрасли
Асс. Подольский С.И. пр. No611","Информатика
Асс. Цветков П.С. л/р No315
Асс. Кочнева А.А. л/р No316","I  История
Доц. Мокеев А.Б. No640
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No640","I  История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No828
II История
Доц. Лейберов А.И. No828","I  История
Доц. Лейберов А.И. No633
____________________
II Физика
Асс. Егорова А.Ю. пр. No712","I  История
Доц. Лейберов А.И. No633
____________________
II Русский язык и культура речи
Асс. Степушина О.В. пр. No411","Геология
Доц. Леонтьев В.И. No624","Геология
Доц. Леонтьев В.И. No624","Химия
Доц. Лобачёва О.Л. л/р No840
Доц. Джевага Н.В. л/р No845","Геология
Доц. Леонтьев В.И. No624","Геология
Доц. Леонтьев В.И. No624"

"",12.35-14.05,"1/2 Информатика
Доц. Овчинникова Е.Н. л/р No835
1/2 Химия элементов и их
соединений
Доц. Згонник П.В. л/р
I - No844     II - No840","1/2 Информатика
Доц. Косарев О.В. л/р No548
1/2 Химия элементов и их
соединений
А  с  с  . Ч   е  р  н  я  е  в    В   . А  .   л  / р
I - No840    II - No844","Математика
Д  о  ц  . Могилева Л.М. пр. No516","1/2 Информатика
Доц. Кротова С.Ю. л/р No515","Математика
Доц. Зацепин М.А. пр. No523","1/2 Информатика
Доц. Сибирев В.Н. л/р No337
1/2 Общая геология
Асс. Илалова Р.К. л/р No550","I  Инженерная графика
Проф. Мураев Ю.Д. No723
II Химия
Доц. Лобачёва О.Л. No839","История
Асс. Подольский С.И. пр. No612","Начертательная геометрия и
инженерная компьютерная
графика
Доц. Фоломкин А.И. пр. No710
Доц. Янкилевич С.В. пр. No726","Математика
Доц. Карпов А.Н. пр. No512","История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. пр. No611","I История
Доц. Волошинова И.В. пр. No609
_____________________
II Русский язык и культура речи
Доц. Егоренкова Н.А. пр. No722","Физика

Асс. Егорова А.Ю. пр. No713","I  История
Д  о  ц  .  Л   е  йберов А.И. No633
____________________
II Русский язык и культура речи
Проф. Щукина Д.А. No633","I  История
Доц. Лейберов А.И. No633
____________________
II Русский язык и культура речи
Проф. Щукина Д.А. No633","История
Доц. Мокеев А.Б. пр. No613","Информатика
Асс. Цветков П.С. л/р No316
Асс. Кочнева А.А. л/р No315","I  Русский язык и культура речи
Асс. Дмитриева М.Н. пр. No610
____________________
II История
Доц. Лейберов А.И. пр. No603","Математика
Доц. Пастухова Е.В. пр. No411","1/2 Геология
Доц. Леонтьев В.И. л/р No549

1/2 Информатика
Доц. Водкайло Е.Г. л/р No319","I Культурология
Проф. Рассадина С.А. пр. No827
__________________
II Математика
Доц. Керейчук М.А. пр. No403","I   И  н  ж   е  н  е  р  н  а  я    г р   а  ф   и ка
Проф. Мураев Ю.Д. No723
_  _  _  _  _  _  _ _  ____________
II Химия
Доц. Лобачёва О.Л. No839","Математика
Доц. Романова Ю.С. пр. No513",

"",14.15-15.45,"1/2 Общая геология
Асс. Илалова Р.К. л/р No550",,"_  _  _  _  _  _  _______________
II История
Доц. Волошинова И.В. пр. No639","1/2 Общая геология
Доц. Дурягина А.М. л/р
NoГорный музей",,"I  История
Доц. Волошинова И.В. пр. No639
_____________________","1/2 Инженерная графика
Проф. Мураев Ю.Д. пр. No711","I  Русский язык и культура речи
Доц. Егоренкова Н.А. пр. No609
________________","_____________________
II Русский язык и культура речи
Асс. Дмитриева М.Н. пр. No610",,,"Математика
Доц. Бакеева Л.В. пр. No629",,,,"История развития нефтегазовой
отрасли
Проф. Афанасьев В.Г. пр. No613","I  Русский язык и культура речи
Асс. Дмитриева М.Н. пр. No610
_____________________","Информатика
Асс. Цветков П.С. л/р No316
Асс. Кочнева А.А. л/р No315","1/2 Информатика
Доц. Быкова О.Г. л/р No719","1/2 Геология
Доц. Леонтьев В.И. л/р No549


1/2 Информатика
Доц. Катунцов Е.В. л/р No319",,,"История
Доц. Шайдуров В.Н. пр. No611",

"",15.55-17.20,,,"I  1/2 Общая геология
Доц. Дурягина А.М. л/р
NoГорный музей",,,,,,,,,,,,,,,,,,,,,

"",17.30-19.00,,,,,,,,,,,,,,,,,,,,,,,,

"П
Я
Т
Н
И
Ц
А",8.50-10.20,"I  1/2 Химия элементов и их
соединений
Доц. Кужаева А.А. л/р No843
II Иностранный язык
Доц. Зибров Д.А. пр. No821
Преп. Никифоровская Е.О. No812","_______________________
II Иностранный язык
Доц. Зибров Д.А. пр. No821
Преп. Никифоровская Е.О. No812","_____________________
II Иностранный язык
Доц. Крючкова Ю.В. пр. No903
No838","I  Математика
Доц. Зацепин М.А. No518
II Иностранный язык   пр.
Доц.Борисова Ю.В. No830
Ст.пр. Михайлова М.С. No228
(немецкий язык)","I  Математика
Доц. Зацепин М.А. No518
II Иностранный язык   пр.
Доц. Померанец И.Б.No831
Преп. Токарева О.В.  No1005","I  1/2 Общая геология
Асс. Илалова Р.К. л/р No550
II Иностранный язык
Доц. Чувилева Н.В. пр. No822
Доц. Пец Ю.В. пр. No803","I  Математика
Доц. Гончар Л.И. пр. No513
II Иностранный язык
Доц. Облова И.С. пр. No834
Доц. Свешникова С.А. No813","I  История
Асс. Подольский С.И. пр. No611
II Русский язык и культура речи
Доц. Егоренкова Н.А. No633","I  Русский язык и культура речи
Доц. Згурская О.Г. No633
_______________","I  Иностранный язык
Преп. Гагарина О.Ю. пр. No904
Доц. Навицкайте Э.А. No822
II Русский язык и культура речи
Доц. Егоренкова Н.А. No633","I  Иностранный язык
Ст.пр. Мурзо Ю.Е. пр. No1005
Доц. Навицкайте Э.А.No822
II Русский язык и культура речи
Доц. Егоренкова Н.А. No633","I  Иностранный язык
Ст.пр. Мурзо Ю.Е. пр. No1005
Доц. Навицкайте Э.А.No822
II Русский язык и культура речи
Доц. Егоренкова Н.А. No633","I  Иностранный язык
Ст.пр. Корниенко Н.В. No834
Ст.пр. Щетинина А.Т. пр. No831
II Русский язык и культура речи
Доц. Згурская О.Г. пр. No609","Информатика
Доц. Быкова О.Г. No333","Информатика
Доц. Быкова О.Г. No333","Информатика
Доц. Быкова О.Г. No333","I  Русский язык и культура речи
Доц. Згурская О.Г. No633
II История
Асс. Подольский С.И. пр. No611","I  Русский язык и культура речи
Доц. Згурская О.Г. No633
_____________________","I  Русский язык и культура речи
Доц. Згурская О.Г. No633
_____________________","I  Культурология
Доц. Науменко Н.В. No624
II Минерально-сырьевая база
Российской Федерации
Проф. Евдокимов А.Н. No624","I  Культурология
Доц. Науменко Н.В. No624
II Минерально-сырьевая база
Российской Федерации
Проф. Евдокимов А.Н. No624","I  Иностранный язык
Доц. Гоман Ю.В. пр. No830
Доц. Гончарова М.В. No210
(немецкий язык)","I  Культурология
Доц. Науменко Н.В. No624
II Минерально-сырьевая база
Российской Федерации
Проф. Евдокимов А.Н. No624","I  Культурология
Доц. Науменко Н.В. No624
II Минерально-сырьевая база
Российской Федерации
Проф. Евдокимов А.Н. No624"

10.35-12.05,"История
Доц. Мокеев А.Б. No633","История
Доц. Мокеев А.Б. No633","Общая геология
Доц. Цинкобурова М.Г. No832","Общая геология
Доц. Цинкобурова М.Г. No832","Общая геология
Доц. Цинкобурова М.Г. No832","Математика
Доц. Брылевская Л.И. пр. No514","Информатика
Доц. Кротова С.Ю. No640","Математика
Доц. Лебедев И.А. No628","Математика
Доц. Мансурова С.Е. No536","I  История
Асс. Подольский С.И. пр. No612
II Русский язык и культура речи
Доц. Егоренкова Н.А. пр. No609","I Русский язык и
культура речи
Доц. Егоренкова Н.А. пр. No609
II История
Асс. Подольский С.И. пр. No612","Информатика
Асс. Крыльцов С.Б. л/р No643
Доц. Быкова О.Г. л/р No646","Математика

Доц. Лебедев И.А. No628","Начертательная геометрия и
инженерная компьютерная
г р  а  ф   и   к а
Асс. Чупин С.А. пр. No710
Асс. Кононов П.В. пр. No726","Математика
Доц. Ивакин В.В. пр. No512","I  Русский язык и культура речи
Доц. Згурская О.Г. пр. No613
II Физика
Асс. Егорова А.Ю. пр. No712","Математика
Доц. Мансурова С.Е. No536","Математика
Доц. Мансурова С.Е. No536","Математика
Доц. Мансурова С.Е. No536","I  Минерально-сырьевая база
Российской Федерации
Проф. Евдокимов А.Н. пр. No528
II Культурология
Доц. Бондарева О.Н. пр. No610","I Математика
Доц. Керейчук М.А. пр. No718
________________
II  Философия
Доц. Рахманинова М.Д. пр. 540","Информатика

Доц. Кротова С.Ю. No640","I  Культурология
Доц. Науменко Н.В. пр. No610
II Минерально-сырьевая база
Российской Федерации
Проф. Евдокимов А.Н. пр. No528","История
Доц. Лейберов А.И. пр. No611",

12.35-14.05,"Информатика
Доц. Овчинникова Е.Н. No333","Информатика
Доц. Овчинникова Е.Н. No333","Химия элементов и их соединений
Доц. Кужаева А.А. л/р No843
Доц. Згонник П.В. л/р No840","1/2 Химия элементов и их
соединений
Доц. Джевага Н.В. л/р
I - No844    II - No812","1/2 Физика
Д  о  ц  .  Г  у  ж   в  а    М.Е. л/р No235,236,714","Информатика
Доц. Овчинникова Е.Н. No333","1/2 Геология
Доц. Ляхницкий Ю.С. л/р No550
1/2 Информатика
Доц. Сибирев В.Н. л/р No315","I  Русский язык и культура речи
Доц. Егоренкова Н.А. пр. No636
II Физика
Асс. Егорова А.Ю. пр. No712","Физика
Асс. Мацкевич Е.Е. пр. No713","Начертательная геометрия и
инженерная компьютерная
графика
Доц. Мороз О.Н. пр. No710
Асс. Кононов П.В. пр. No726",,"1/2 Начертательная геометрия и
инженерная компьютерная
графика
Доц. Третьякова З.О.  пр. No719","История
Д   о  ц  .  М   о  к  е  е  в   А  . Б   .  п  р  .  No611","Математика
Доц. Бакеева Л.В. пр. No513","История
Асс. Подольский С.И. пр. No612","I  Физика
Асс. Егорова А.Ю. пр. No609
II Русский язык и культура речи
Доц. Згурская О.Г. пр. No609","Начертательная геометрия и
инженерная компьютерная
графика
Доц. Воронина М.В. пр. No711
Асс. Чупин С.А. пр. No729","Русский язык и культура речи
Асс. Дмитриева М.Н. пр. No610","Физика
Доц.Типицка Н.А.
пр. No626","Математика

Доц. Мансурова С.Е. пр. No514","I История
Доц. Лейберов А.И. пр. No627
_____________
II Минерально-сырьевая база
Российской Федерации
Проф. Евдокимов А.Н.  пр. No627","Инженерная графика

Проф. Мураев Ю.Д. пр. No727
Доц. Левашов Д.С. пр. No728","I  Философия
Доц. Рахманинова М.Д. пр. No524

_____________________","I Минерально-сырьевая база
Российской Федерации
Проф. Евдокимов А.Н. пр. No516
__________________
II Философия
Доц. Рахманинова М.Д. пр. No636",

14.15-15.45,"_____________________
II 1/2 Химия элементов и их
соединений
Доц. Кужаева А.А. л/р No845","История
Доц. Лейберов А.И. пр. No603","1  / 2   И   н  ф   о  р  м   а  т и   к а
Доц. Кротова С.Ю. л/р No315","I  1/2 Общая геология
Доц. Дурягина А.М. л/р
NoГорный музей

_____________________","1/2 Химия элементов и их
соединений
Доц. Джевага Н.В. л/р
I-No844   II-No840",,,,"История
Асс. Подольский С.И. пр. No612",,,,,,,,,"I  Физика
Асс. Егорова А.Ю. пр. No712
_____________________","Начертательная геометрия и
инженерная компьютерная
графика
Доц. Воронина М.В. пр. No719
Асс. Кононов П.В. No727",,"1/2 Геология

Асс. Колядина А.И. л/р No549","1/2 Геология
Д   о  ц  .   Л  я  х  н  и   ц  к  и  й    Ю   . С   .     л  / р   No    5  5  0
1/2 Информатика
Доц. Сибирев В.Н. л/р No316",,"_________________
II Культурология
Доц. Бондарева О.Н. пр. No639",

15.55-17.20,,"1/2 Общая геология
Асс. Илалова Р.К. л/р No550",,,,,,,,,,,,,,,,,,,,,,,

17.30-19.00,,,,,,,,,,,,,,,,,,,,,,,,,

